timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-02-25,1928.0,1995.0,1921.0,1952.45,1948.776,420541,0.0000,1.0
2020-02-24,1909.0,1989.0,1810.0,1922.9,1919.2816,706758,10.0000,1.0
2020-02-20,1875.0,1976.0,1860.05,1927.75,1914.1161,865483,0.0000,1.0
2020-02-19,1665.0,1872.7,1655.8,1830.65,1817.7028,981759,0.0000,1.0
2020-02-18,1512.5,1648.85,1483.65,1639.3,1627.7062,486799,0.0000,1.0
2020-02-17,1567.9,1567.9,1509.75,1518.2,1507.4626,141268,0.0000,1.0
2020-02-14,1596.0,1602.7,1548.0,1557.45,1546.435,215800,0.0000,1.0
2020-02-13,1585.0,1609.3,1514.9,1579.95,1568.7759,652738,0.0000,1.0
2020-02-12,1400.0,1449.85,1350.05,1418.95,1408.9146,429724,0.0000,1.0
2020-02-11,1495.0,1505.2,1380.0,1406.1,1396.1554,223489,0.0000,1.0
2020-02-10,1524.0,1537.15,1465.9,1479.95,1469.4832,202579,0.0000,1.0
2020-02-07,1504.95,1528.65,1481.2,1513.85,1503.1434,147341,0.0000,1.0
2020-02-06,1533.7,1562.0,1472.2,1503.8,1493.1644,408748,0.0000,1.0
2020-02-05,1455.0,1549.0,1442.9,1509.05,1498.3773,767122,0.0000,1.0
2020-02-04,1289.0,1438.55,1285.0,1413.3,1403.3046,469150,0.0000,1.0
2020-02-03,1198.0,1264.0,1185.15,1252.15,1243.2942,214565,0.0000,1.0
2020-01-31,1147.0,1234.65,1147.0,1212.0,1203.4282,235594,0.0000,1.0
2020-01-30,1130.0,1164.0,1116.3,1136.2,1128.1643,304908,0.0000,1.0
2020-01-29,1070.0,1130.35,1064.0,1118.6,1110.6887,249600,0.0000,1.0
2020-01-28,1008.1,1060.0,1008.1,1048.55,1041.1342,135842,0.0000,1.0
2020-01-27,1004.0,1016.65,994.5,1007.65,1000.5234,34442,0.0000,1.0
2020-01-24,996.05,1012.5,992.65,1002.7,995.6085,34279,0.0000,1.0
2020-01-23,1000.05,1000.05,989.5,995.2,988.1615,29061,0.0000,1.0
2020-01-22,985.1,1005.35,985.1,996.0,988.9558,51516,0.0000,1.0
2020-01-21,995.9,995.9,978.5,982.7,975.7499,35562,0.0000,1.0
2020-01-20,1027.9,1028.95,987.45,992.75,985.7288,76137,0.0000,1.0
2020-01-17,1010.95,1025.2,1010.95,1021.7,1014.4741,111570,0.0000,1.0
2020-01-16,991.0,1008.0,985.35,1003.3,996.2043,106871,0.0000,1.0
2020-01-15,980.1,996.1,973.1,985.5,978.5301,127291,0.0000,1.0
2020-01-14,945.0,984.0,942.45,974.7,967.8065,191040,0.0000,1.0
2020-01-13,919.0,942.2,916.85,938.9,932.2597,46144,0.0000,1.0
2020-01-10,913.7,928.0,909.0,916.4,909.9188,38388,0.0000,1.0
2020-01-09,916.95,920.75,910.35,913.7,907.2379,35335,0.0000,1.0
2020-01-08,895.0,901.5,887.4,895.8,889.4645,42746,0.0000,1.0
2020-01-07,901.9,921.3,898.5,907.05,900.6349,48022,0.0000,1.0
2020-01-06,929.15,929.15,890.05,894.1,887.7766,68148,0.0000,1.0
2020-01-03,928.0,943.3,928.0,931.2,924.6141,60285,0.0000,1.0
2020-01-02,944.0,944.0,928.0,930.15,923.5716,53401,0.0000,1.0
2020-01-01,943.45,953.8,934.9,944.0,937.3236,110599,0.0000,1.0
2019-12-31,935.0,954.8,922.35,934.0,927.3944,287007,0.0000,1.0
2019-12-30,889.8,937.55,884.0,926.9,920.3446,218814,0.0000,1.0
2019-12-27,884.75,885.35,877.1,880.85,874.6203,32898,0.0000,1.0
2019-12-26,888.75,888.75,875.1,877.0,870.7975,35015,0.0000,1.0
2019-12-24,886.9,899.9,875.8,887.45,881.1735,173804,0.0000,1.0
2019-12-23,866.0,870.6,861.4,864.5,858.3859,16701,0.0000,1.0
2019-12-20,875.95,875.95,866.0,866.95,860.8185,17129,0.0000,1.0
2019-12-19,874.0,876.45,866.65,869.75,863.5988,20230,0.0000,1.0
